video_id,video_title,video_description,channel_title,date_upload,view_count,like_count,favorite_count,comment_count
rqvyWUODZGE,Is Data Science Dying in 2022?,"Free Dataiku Learning Resource: https://knowledge.dataiku.com/latest/courses/intro-to-ml/index.html In this video, I talk about if ...",Recall by Dataiku,2022-07-09,170207,4288,0,326
q9oAZwhuUy4,Data Analyst vs Data Engineer vs Data Scientist,Want to know the difference between Data Analyst vs Data Engineer vs Data Scientist? Keep watching this video to know.,codebasics,2020-02-01,156711,4820,0,274
sGQfiyXOvF0,Generate Data Science/Data Analysis Report of your DataSet in 5 Minutes,Checkout my English channel here: https://www.youtube.com/ProgrammingWithHarry ▻Click here to subscribe ...,CodeWithHarry,2020-06-02,149331,6846,0,649
gUukBKtwjQo,DO NOT STUDY Data Science and Business Analytics IF...,https://www.instagram.com/desiamericanprofessor/,Desi American Professor,2022-05-09,137443,3067,0,294
QnGotm29cZE,Full Stack Data Science Roadmap 2023,Try Datalore for free: https://jb.gg/datalore Use my gift code THUVUDL for a 1 month of free Datalore Professional. Full Stack ...,Thu Vu data analytics,2022-12-22,127716,3915,0,57
uswU1s3M2VE,What Is Data Science? (Explained in 5 Minutes),Sign up for Our Complete Data Science Training with 57% OFF: https://bit.ly/3v4Y4tf Download Our Free Data Science ...,365 Data Science,2021-05-20,127060,5105,0,164
9XSIVbFPS7s,Step by step roadmap to learn data science in 6 months | 6 महीने में Data Science सीखें,Do you want to learn data science step by step starting from very beginning? Are you the person who doesn't have any technical ...,codebasics Hindi,2021-01-24,125545,5467,0,227
qE7hB7yiQaQ,Data Science vs Artificial Intelligence | DS vs AI | Intellipaat,In this video on Data Science vs Artificial Intelligence you will understand about the difference between these two and which one ...,Intellipaat,2020-01-23,124379,2679,0,167
O9nf1CqjGzI,Data Science Career: (Is Becoming A Data Scientist ACTUALLY Worth It?),Google Data Analytics Certificate: https://coursera.pxf.io/gbNzrg ---------- These videos are for entertainment purposes only and ...,Shane Hummus,2022-02-25,124676,5007,0,308
pzo13OPXZS4,Intro to Data Science: Overview,"This lecture provides an introductory overview to data science. I will discuss the high-level goals of this lecture series, and how ...",Steve Brunton,2019-06-06,121465,1943,0,49
